p_participated,p_participated_2023,p_mandavolunt,p_year_start,p_year_end,p_year_start_clone2,p_year_end_clone2,p_ongoing,p_program_length,p_hourstrained,p_duration,p_comphours,p_otjactivities,p_cost,p_adequatefund,p_adequatefunddummy,p_fund_gov,p_fund_org,p_fund_wrk,p_fund_union,p_fund_other,p_advocacy,p_advocacy_hier,p_responsibility,p_responsibility_hier,p_application,p_selection,p_criteria_jobtitle,p_criteria_tenure,p_criteria_qualifications,p_criteria_assmskills,p_criteria_assmsmotivation,p_criteria_managerrec,p_criteria_other,p_targetemp_c,p_targetemp_bul,p_targetemp_mm,p_targetemp_emp,p_targetfunc_leg,p_targetfunc_hr,p_targetfunc_adm,p_targetfunc_it,p_targetfunc_op,p_targetfunc_mrksal,p_targetfunc_rd,p_targetfunc_accfin,p_targetfunc_cust,p_difloc,p_difstand,p_challenge_convincingemployees,p_challenge_selecting,p_challenge_progcompl,p_challenge_learning,p_challenge_convmanager,p_challenge_linkprogramcareer,p_challenge_effectiveness,p_challenge_scaling,p_challenge_determreturn,p_challenge_supportoutsideHR,p_challenge_funding,p_challenge_other,p_cont_investment,p_eligibility,p_part,p_part_exp,p_finassessment,p_effectiveness,p_effect_reverse,p_roi,p_participated_coarse,p_size_coarse1,p_size_coarse2,p_size_coarse3,p_target_top,p_target_middle,p_target_emp,p_target_topmiddle,p_target_middleemp,p_target_all,p_target_topbottom,p_long,p_hours_long,p_compfull,p_oja,p_adv_top,p_adv_hr,p_resp_top,p_resp_hr,p_adv_resp_match,p_cri_individual,p_cha_takeup,p_cha_during,p_cha_support,p_cha_scale,program_type,prog_clus2,prog_clus3,prog_clus4
100 - 499,100 - 499,Voluntary,2023,2023,2023,2023,0,0,100 - 199 hours,2 - 6 months,Partly compensated hours,Yes,"$501 - $1,000",Overfunded,Not adequately funded,10,30,20,10,30,HR Leaders,HR,Middle Managers and/or front-line supervisors,BU and Middle Management,Anyone could apply regardless of their function/department ,Yes,0,1,1,1,0,0,0,Selected,Selected,Selected,Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Yes,Very standard across geographies,0,0,0,1,0,1,1,0,0,1,0,0,Somewhat likely,71,79,73,Yes,Very Effective,3,"Not yet, but intends to",2,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,Advanced Programs,Advanced,4
100 - 499,500 - 999,Voluntary,2019,2022,2019,2022,0,3,100 - 199 hours,7 - 12 months,Partly compensated hours,No,"$501 - $1,000",Adequate funding,Adequately funded,32,46,11,11,0,Business Unit/Subsidiary/Function Leaders,BU and Middle Management,HR Leaders,HR,Anyone could apply regardless of their function/department ,Yes,1,1,0,1,0,0,0,Not Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,1.7137203,1,0,0,1,0,1,0,1,0,0,0,0,Likely,28,45,57,No,Very Effective,3,Positive ROI,2,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,Advanced Programs,Intermediate,3
50 - 99,100 - 499,Voluntary,2022,2023,2022,2023,0,1,50 - 99 hours,2 - 6 months,Entirely compensated hours,Yes,"$501 - $1,000",Adequate funding,Adequately funded,20,40,20,20,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply regardless of their function/department ,Yes,1,0,0,1,0,0,0,Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Yes,Very flexible,0,1,0,1,0,0,0,0,0,0,0,0,Likely,58,79,90,Yes,Very Effective,3,Positive ROI,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,Advanced Programs,Advanced,4
500 - 999,1000 - 9999,Voluntary,2022,2023,2022,2023,0,1,200 - 499 hours,2 - 6 months,Entirely compensated hours,Yes,"$501 - $1,000",Adequate funding,Adequately funded,15,45,15,25,0,HR Leaders,HR,Middle Managers and/or front-line supervisors,BU and Middle Management,Anyone could apply regardless of their function/department ,Yes,1,0,1,1,1,0,0,Not Selected,Selected,Selected,Selected,Not Selected,Selected,Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Yes,Very flexible,1,1,0,1,1,1,0,1,0,0,0,0,Very likely,74,85,89,Yes,Very Effective,3,Positive ROI,3,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,Advanced Programs,Advanced,4
100 - 499,500 - 999,Voluntary,2019,Ongoing,2019,2023,1,4,50 - 99 hours,2 - 6 months,Partly compensated hours,Yes,"$501 - $1,000",Adequate funding,Adequately funded,15,50,15,10,10,HR Leaders,HR,HR Leaders,HR,Anyone could apply if belonging to specific function/department/hier level,Yes,1,1,0,1,1,1,0,Not Selected,Selected,Selected,Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Yes,Very flexible,1,0,1,1,0,1,1,1,0,1,1,0,Very likely,83,90,83,Yes,Very Effective,3,Positive ROI,2,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,Advanced Programs,Advanced,4
500 - 999,1000 - 9999,Voluntary,2022,2023,2022,2023,0,1,100 - 199 hours,7 - 12 months,Entirely compensated hours,Yes,"$1,001 - $5,000",Adequate funding,Adequately funded,30,20,25,25,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply regardless of their function/department ,Yes,1,0,1,1,0,0,0,Selected,Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Yes,Very standard across geographies,0,1,0,0,1,0,0,0,0,0,0,0,Very likely,70,75,83,Yes,Very Effective,3,Positive ROI,3,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,Advanced Programs,Advanced,4
100 - 499,500 - 999,Voluntary,2022,2023,2022,2023,0,1,100 - 199 hours,2 - 6 months,Partly compensated hours,No,"$5,001 - $10,000",Adequate funding,Adequately funded,10,15,45,15,15,HR Leaders,HR,HR Leaders,HR,Anyone could apply if belonging to specific function/department/hier level,No,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,1.7137203,0,0,1,0,1,0,0,0,0,0,0,0,Likely,51,59,78,No,Moderately Effective,2,"Not yet, but intends to",2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,.76261681,0,1,1,0,1,Advanced Programs,Advanced,3
100 - 499,500 - 999,Voluntary,2023,2023,2023,2023,0,0,100 - 199 hours,2 - 6 months,Partly compensated hours,Yes,"$501 - $1,000",Adequate funding,Adequately funded,5,90,0,5,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply regardless of their function/department ,No,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Not Selected,Not Selected,Selected,Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,1.7137203,0,1,0,1,0,0,1,0,0,0,0,0,Likely,71,85,93,Yes,Very Effective,3,"Not yet, but intends to",2,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,.76261681,1,1,0,1,1,Basic Programs,Basic,1
500 - 999,1000 - 9999,Voluntary,2022,2023,2022,2023,0,1,50 - 99 hours,2 - 6 months,Entirely compensated hours,Yes,"$1,001 - $5,000",Adequate funding,Adequately funded,30,20,10,20,20,HR Leaders,HR,Business Unit/Subsidiary/Function Leaders,BU and Middle Management,Anyone could apply if belonging to specific function/department/hier level,Yes,1,1,1,1,1,0,0,Not Selected,Selected,Selected,Selected,Selected,Selected,Not Selected,Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Yes,Very standard across geographies,0,1,0,1,1,0,0,0,0,0,0,0,Likely,73,79,85,Yes,Very Effective,3,Negative ROI,3,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,Advanced Programs,Advanced,4
100 - 499,500 - 999,Voluntary,2021,Ongoing,2021,2023,1,2,50 - 99 hours, > 12 months,Entirely compensated hours,Yes,"$501 - $1,000",Adequate funding,Adequately funded,0,80,0,20,0,HR Leaders,HR,Business Unit/Subsidiary/Function Leaders,BU and Middle Management,Anyone could apply if belonging to specific function/department/hier level,Yes,1,1,0,1,1,0,0,Not Selected,Selected,Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Selected,Selected,Not Selected,Selected,Yes,Mix of standard and custom,1,0,0,1,0,1,0,1,1,0,1,0,Very likely,39,50,29,Yes,Very Effective,3,Positive ROI,2,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,Basic Programs,Basic,2
500 - 999,1000 - 9999,Voluntary,2022,Ongoing,2022,2023,1,1,> 500 hours,7 - 12 months,Partly compensated hours,Yes,"$1,001 - $5,000",Adequate funding,Adequately funded,8,56,14,22,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply if belonging to specific function/department/hier level,Yes,0,1,0,1,1,1,0,Not Selected,Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,Selected,Selected,No,1.7137203,1,0,1,0,0,1,1,0,1,0,0,0,Very likely,96,79,91,Yes,Moderately Effective,2,Positive ROI,3,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,Advanced Programs,Advanced,4
50 - 99,100 - 499,Voluntary,2023,2023,2023,2023,0,0,50 - 99 hours,< 1 month,Partly compensated hours,Yes,"$5,001 - $10,000",Adequate funding,Adequately funded,10,45,25,20,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply regardless of their function/department ,Yes,1,0,1,1,0,0,0,Selected,Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Selected,Selected,Selected,Selected,Selected,Selected,Yes,Mix of standard and custom,0,1,0,1,1,0,0,1,0,0,0,0,Likely,84,85,86,No,Very Effective,3,"Tried to, but unable",1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,Advanced Programs,Advanced,4
100 - 499,100 - 499,Voluntary,2022,2023,2022,2023,0,1,100 - 199 hours,7 - 12 months,Partly compensated hours,Yes,"$501 - $1,000",Adequate funding,Adequately funded,24,30,22,24,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply regardless of their function/department ,Yes,1,0,1,1,0,0,0,Not Selected,Selected,Selected,Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,No,1.7137203,0,0,1,0,1,0,0,1,1,0,0,0,Likely,67,78,93,Yes,Moderately Effective,2,Positive ROI,2,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,Advanced Programs,Advanced,4
1000 - 9999,100 - 499,Mandatory,2022,2023,2022,2023,0,1,100 - 199 hours,2 - 6 months,Partly compensated hours,Yes,"$501 - $1,000",Adequate funding,Adequately funded,20,20,20,40,0,HR Leaders,HR,HR Leaders,HR,1.6574343,1.2201166,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Selected,Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Yes,Mix of standard and custom,0,0,1,1,0,0,0,0,0,0,0,0,Likely,68,38,80,Yes,Not Effective,1,"Tried to, but unable",3,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,.76261681,0,1,0,0,1,Advanced Programs,Advanced,4
100 - 499,500 - 999,Voluntary,2022,Ongoing,2022,2023,1,1,10 - 49 hours,2 - 6 months,Entirely compensated hours,Yes,"$1,001 - $5,000",Adequate funding,Adequately funded,0,100,0,0,0,C-Suite Leaders excluding HR,Top Management,Middle Managers and/or front-line supervisors,BU and Middle Management,Anyone could apply regardless of their function/department ,Yes,1,1,1,1,1,0,0,Not Selected,Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Selected,Selected,Not Selected,Selected,Yes,Mix of standard and custom,1,1,0,1,0,1,1,1,0,0,0,0,Very likely,60,68,62,Yes,Very Effective,3,Positive ROI,2,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,Basic Programs,Basic,1
100 - 499,500 - 999,Voluntary,2021,2023,2021,2023,0,2,50 - 99 hours,2 - 6 months,Partly compensated hours,Yes,"$1,001 - $5,000",Overfunded,Not adequately funded,26,32,24,15,3,HR Leaders,HR,"C-Suite Leaders, excluding HR",Top Management,Anyone could apply if belonging to specific function/department/hier level,Yes,0,1,0,1,0,0,0,Selected,Selected,Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Selected,Selected,Not Selected,Selected,Yes,Mix of standard and custom,0,0,0,1,0,1,0,0,0,0,0,0,Somewhat likely,42,61,54,Yes,Very Effective,3,"Not yet, but intends to",2,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,Advanced Programs,Intermediate,3
50 - 99,100 - 499,Mandatory,2019,Ongoing,2019,2023,1,4,50 - 99 hours,2 - 6 months,Entirely compensated hours,Yes,"$1,001 - $5,000",Adequate funding,Adequately funded,20,20,20,20,20,HR Leaders,HR,Middle Managers and/or front-line supervisors,BU and Middle Management,1.6574343,1.2201166,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Selected,Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,Mix of standard and custom,0,0,1,0,0,1,0,0,0,0,0,0,Likely,71,81,65,Yes,Very Effective,3,No attempt to calculate,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,.76261681,0,1,0,0,1,Advanced Programs,Advanced,4
100 - 499,500 - 999,Voluntary,2021,2022,2021,2022,0,1,50 - 99 hours,2 - 6 months,Entirely compensated hours,Yes,"$501 - $1,000",Adequate funding,Adequately funded,19,20,20,21,20,C-Suite Leaders excluding HR,Top Management,HR Leaders,HR,Anyone could apply if belonging to specific function/department/hier level,No,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Not Selected,Selected,Selected,Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,No,1.7137203,0,1,1,0,1,1,1,1,0,0,0,0,Uncertain,70,57,76,No,Moderately Effective,2,"Not yet, but intends to",2,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,.76261681,1,1,1,1,1,Advanced Programs,Advanced,4
100 - 499,100 - 499,Voluntary,2022,Ongoing,2022,2023,1,1,50 - 99 hours,7 - 12 months,Entirely compensated hours,Yes,"$1,001 - $5,000",Adequate funding,Adequately funded,30,50,0,20,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply regardless of their function/department ,No,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Not Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Not Selected,Selected,Selected,Yes,Mix of standard and custom,0,0,1,1,1,0,0,0,0,0,0,0,Likely,51,58,69,Yes,Very Effective,3,Positive ROI,2,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,.76261681,0,1,1,0,1,Advanced Programs,Intermediate,3
1000 - 9999,1000 - 9999,Mandatory,2021,2022,2021,2022,0,1,50 - 99 hours,7 - 12 months,Entirely compensated hours,Yes,"$5,001 - $10,000",Adequate funding,Adequately funded,20,20,20,20,20,Business Unit/Subsidiary/Function Leaders,BU and Middle Management,Business Unit/Subsidiary/Function Leaders,BU and Middle Management,1.6574343,1.2201166,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,1.7137203,0,0,0,0,0,0,0,0,0,0,0,0,Very likely,44,69,76,No,Very Effective,3,"Not yet, but intends to",3,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,.76261681,0,1,0,0,1,Advanced Programs,Advanced,4
500 - 999,1000 - 9999,Voluntary,2022,2023,2022,2023,0,1,> 500 hours, > 12 months,Entirely compensated hours,Yes,"$5,001 - $10,000",Overfunded,Not adequately funded,13,64,5,18,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply regardless of their function/department ,Yes,1,1,0,1,0,0,0,Not Selected,Selected,Selected,Selected,Not Selected,Selected,Not Selected,Selected,Selected,Selected,Not Selected,Selected,Not Selected,No,1.7137203,0,0,1,0,0,1,1,0,0,0,0,0,Very likely,84,78,95,Yes,Moderately Effective,2,Positive ROI,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,Advanced Programs,Advanced,4
100 - 499,500 - 999,Voluntary,2022,Ongoing,2022,2023,1,1,100 - 199 hours,2 - 6 months,Partly compensated hours,Yes,"$501 - $1,000",Adequate funding,Adequately funded,20,80,0,0,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply if belonging to specific function/department/hier level,Yes,1,0,0,0,0,0,0,Not Selected,Selected,Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Yes,Very standard across geographies,0,0,0,0,0,0,0,0,1,0,1,0,Very likely,30,25,29,Yes,Very Effective,3,Positive ROI,2,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,Basic Programs,Basic,2
Fewer than 50,50 - 99,Voluntary,2019,Ongoing,2019,2023,1,4,100 - 199 hours, > 12 months,Entirely compensated hours,Yes,"$1,001 - $5,000",Adequate funding,Adequately funded,30,70,0,0,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply if belonging to specific function/department/hier level,Yes,1,1,1,0,1,0,0,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,1.7137203,0,0,0,1,1,0,0,0,0,0,0,0,Uncertain,80,35,35,Yes,Moderately Effective,2,"Not yet, but intends to",1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,Basic Programs,Basic,2
100 - 499,100 - 499,Voluntary,2022,2023,2022,2023,0,1,50 - 99 hours,< 1 month,Entirely compensated hours,Yes,"$501 - $1,000",Adequate funding,Adequately funded,20,30,30,20,0,C-Suite Leaders excluding HR,Top Management,HR Leaders,HR,Anyone could apply regardless of their function/department ,Yes,1,1,1,0,0,0,0,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,Very standard across geographies,0,1,0,1,0,0,0,0,0,0,0,0,Likely,89,76,100,Yes,Very Effective,3,Negative ROI,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,Advanced Programs,Advanced,4
50 - 99,50 - 99,Voluntary,2022,Ongoing,2022,2023,1,1,200 - 499 hours,7 - 12 months,Entirely compensated hours,Yes,"$1,001 - $5,000",Adequate funding,Adequately funded,0,100,0,0,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply if belonging to specific function/department/hier level,Yes,1,1,0,0,0,0,0,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Yes,Mix of standard and custom,0,1,0,1,0,0,1,0,0,0,0,0,Uncertain,58,30,85,Yes,Moderately Effective,2,Positive ROI,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,Basic Programs,Basic,1
500 - 999,1000 - 9999,Voluntary,2022,2023,2022,2023,0,1,100 - 199 hours,2 - 6 months,Partly compensated hours,Yes,"$1,001 - $5,000",Adequate funding,Adequately funded,25,30,15,30,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply if belonging to specific function/department/hier level,Yes,1,0,0,1,1,0,0,Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Yes,Very standard across geographies,1,1,0,0,0,0,0,1,1,0,0,0,Very likely,75,56,89,Yes,Very Effective,3,Positive ROI,3,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,Advanced Programs,Advanced,4
50 - 99,100 - 499,Voluntary,2021,Ongoing,2021,2023,1,2,200 - 499 hours, > 12 months,Entirely compensated hours,Yes,< $500,Adequate funding,Adequately funded,0,50,50,0,0,Board of Directors,Top Management,HR Leaders,HR,Only people nominated by managers,Yes,1,1,1,0,0,1,0,Not Selected,Not Selected,Selected,Selected,Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,Mix of standard and custom,1,1,0,0,0,0,0,0,0,0,0,0,Likely,48,24,100,Yes,Very Effective,3,No attempt to calculate,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,Basic Programs,Intermediate,3
500 - 999,1000 - 9999,Voluntary,2022,2023,2022,2023,0,1,100 - 199 hours,2 - 6 months,Partly compensated hours,Yes,"$1,001 - $5,000",Adequate funding,Adequately funded,0,60,40,0,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply regardless of their function/department ,Yes,1,0,1,1,1,1,0,Selected,Selected,Selected,Selected,Not Selected,Selected,Selected,Selected,Not Selected,Selected,Not Selected,Selected,Selected,Yes,Very standard across geographies,0,1,0,1,0,1,0,0,0,0,0,0,Likely,84,79,87,Yes,Very Effective,3,"Not yet, but intends to",3,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,Advanced Programs,Advanced,4
50 - 99,100 - 499,Voluntary,2023,Ongoing,2023,2023,1,0,50 - 99 hours,2 - 6 months,Entirely compensated hours,Yes,"$501 - $1,000",Adequate funding,Adequately funded,10,40,30,10,10,HR Leaders,HR,HR Leaders,HR,Anyone could apply regardless of their function/department ,Yes,1,0,1,0,0,0,0,Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Selected,Selected,Yes,Very flexible,0,1,0,1,0,0,0,0,0,0,0,0,Likely,68,82,90,Yes,Very Effective,3,Positive ROI,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,Advanced Programs,Advanced,4
100 - 499,500 - 999,Mandatory,2020,Ongoing,2020,2023,1,3,10 - 49 hours,2 - 6 months,Entirely compensated hours,Yes,"$1,001 - $5,000",Adequate funding,Adequately funded,20,80,0,0,0,HR Leaders,HR,HR Leaders,HR,1.6574343,1.2201166,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Not Selected,Not Selected,Selected,Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Yes,Very flexible,0,1,0,1,1,0,0,0,1,0,0,0,Likely,77,83,94,Yes,Very Effective,3,Positive ROI,2,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,.76261681,1,1,1,1,1,Advanced Programs,Advanced,1
100 - 499,50 - 99,Mandatory,2019,Ongoing,2019,2023,1,4,< 10 hours,< 1 month,Entirely compensated hours,Yes,< $500,Adequate funding,Adequately funded,2,65,5,27,1,HR Leaders,HR,HR Leaders,HR,1.6574343,1.2201166,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,Very flexible,0,1,0,0,0,0,0,0,0,0,0,0,Likely,92,94,97,Yes,Very Effective,3,"Tried to, but unable",2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,.76261681,1,0,0,0,1,Advanced Programs,Advanced,4
1000 - 9999,50000 - 99999,Mandatory,2019,2022,2019,2022,0,3,200 - 499 hours, > 12 months,Entirely compensated hours,Yes,"$1,001 - $5,000",Overfunded,Not adequately funded,50,5,3,30,12,Middle Managers and/or front-line supervisors,BU and Middle Management,Middle Managers and/or front-line supervisors,BU and Middle Management,1.6574343,1.2201166,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,Selected,Not Selected,Yes,Very flexible,1,0,1,0,1,0,1,0,1,1,0,0,Uncertain,90,18,62,Yes,Very Effective,3,Positive ROI,3,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,.76261681,1,1,1,1,1,Advanced Programs,Intermediate,3
50 - 99,100 - 499,Mandatory,2019,Ongoing,2019,2023,1,4,50 - 99 hours,2 - 6 months,Entirely compensated hours,Yes,"$1,001 - $5,000",Overfunded,Not adequately funded,20,20,20,20,20,HR Leaders,HR,Middle Managers and/or front-line supervisors,BU and Middle Management,1.6574343,1.2201166,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Selected,Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,Very standard across geographies,0,0,1,0,1,0,0,1,0,1,0,0,Likely,78,73,77,Yes,Very Effective,3,Negative ROI,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,.76261681,0,1,1,1,1,Advanced Programs,Advanced,4
500 - 999,1000 - 9999,Mandatory,2022,Ongoing,2022,2023,1,1,> 500 hours,7 - 12 months,Partly compensated hours,Yes,< $500,Adequate funding,Adequately funded,0,80,0,0,20,HR Leaders,HR,Middle Managers and/or front-line supervisors,BU and Middle Management,1.6574343,1.2201166,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Not Selected,Selected,Selected,Selected,Not Selected,Selected,Not Selected,Selected,Selected,Selected,Not Selected,Not Selected,Selected,Yes,Mix of standard and custom,0,1,0,1,0,0,1,1,0,0,0,0,Very likely,51,72,88,Yes,Very Effective,3,Positive ROI,3,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,.76261681,1,1,0,1,1,Basic Programs,Basic,1
500 - 999,100 - 499,Voluntary,2022,2023,2022,2023,0,1,100 - 199 hours,2 - 6 months,Partly compensated hours,Yes,"$501 - $1,000",Adequate funding,Adequately funded,15,20,30,35,0,C-Suite Leaders excluding HR,Top Management,Middle Managers and/or front-line supervisors,BU and Middle Management,Anyone could apply if belonging to specific function/department/hier level,Yes,0,1,0,1,0,0,0,Not Selected,Selected,Selected,Not Selected,Not Selected,Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,Mix of standard and custom,0,0,0,1,1,0,0,0,0,0,0,0,Likely,41,55,66,Yes,Moderately Effective,2,No attempt to calculate,3,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,Advanced Programs,Intermediate,3
